name,from,to,rating,tv_or_movie,genre,runtime,votes
Logan Lucky,2017,None,7,Movie,comedy,118 min,"121,249"
Why Women Kill,2019,None,8.3,TV,comedy,None,"7,686"
Santa Clarita Diet,2017,2019,7.8,TV,comedy,30 min,"53,525"
Zombieland,2009,None,7.6,Movie,comedy,88 min,"506,077"
Home Alone,1990,None,7.6,Movie,comedy,103 min,"447,706"
Ballers,2015,2019,7.6,TV,comedy,30 min,"36,501"
Tag,2018,None,6.5,Movie,comedy,100 min,"105,591"
Henry Danger,2014,2020,5.6,TV,comedy,30 min,"2,850"
The Dead Don't Die,2019,None,5.5,Movie,comedy,104 min,"43,418"
Mamma Mia!,2008,None,6.4,Movie,comedy,108 min,"207,646"
American Made,2017,None,7.2,Movie,comedy,114 min,"151,037"
Friday Night Dinner,2011,None,8.1,TV,comedy,24 min,"12,348"
Parenthood,2010,2015,8.2,TV,comedy,60 min,"29,491"
Weird Science,1985,None,6.6,Movie,comedy,94 min,"77,207"
Mary Poppins Returns,2018,None,6.7,Movie,comedy,130 min,"71,621"
The Art of Racing in the Rain,2019,None,7.5,Movie,comedy,109 min,"19,524"
Matilda,1996,None,6.9,Movie,comedy,98 min,"121,779"
Sixteen Candles,1984,None,7.1,Movie,comedy,93 min,"101,148"
American Graffiti,1973,None,7.4,Movie,comedy,110 min,"79,012"
Amélie,2001,None,8.3,Movie,comedy,122 min,"685,127"
Dating Amber,2020,None,7.1,Movie,comedy,92 min,711
Ralph Breaks the Internet: Wreck-It Ralph 2,2018,None,7.1,Movie,comedy,112 min,"120,653"
Juwanna Mann,2002,None,4.6,Movie,comedy,91 min,"6,167"
Scary Movie,2000,None,6.2,Movie,comedy,88 min,"226,217"
The Wedding Singer,1998,None,6.8,Movie,comedy,97 min,"130,893"
Sorry to Bother You,2018,None,6.9,Movie,comedy,112 min,"55,232"
Like a Boss,2020,None,4.4,Movie,comedy,83 min,"6,410"
Lost in Translation,2003,None,7.7,Movie,comedy,102 min,"397,300"
F Is for Family,2015,None,8,TV,comedy,30 min,"25,631"
Love,2016,2018,7.7,TV,comedy,50 min,"34,871"
Secretary,2002,None,7,Movie,comedy,107 min,"81,050"
Walk Hard: The Dewey Cox Story,2007,None,6.8,Movie,comedy,96 min,"65,264"
The Other Guys,2010,None,6.6,Movie,comedy,107 min,"235,561"
"Lock, Stock and Two Smoking Barrels",1998,None,8.2,Movie,comedy,107 min,"519,677"
(500) Days of Summer,2009,None,7.7,Movie,comedy,95 min,"460,711"
I Give It a Year,2013,None,5.7,Movie,comedy,97 min,"34,986"
A Bug's Life,1998,None,7.2,Movie,comedy,95 min,"259,332"
21 Jump Street,2012,None,7.2,Movie,comedy,109 min,"498,606"
Young Frankenstein,1974,None,8,Movie,comedy,106 min,"139,129"
The Mindy Project,2012,2017,7.4,TV,comedy,30 min,"27,843"
